Rank,Symbol,Close,State,Days_Since,Score,Last_Crossover_Type,SMA_20,SMA_50
1,BEL,408.6,BULLISH,2.0,98.0,BULLISH,409.365,407.07199999999995
2,IDEA,14.48,BULLISH,3.0,97.0,BULLISH,14.045000000000002,13.7882
3,NMDC,84.43,BULLISH,8.0,92.0,BULLISH,85.4675,84.89280000000001
4,LT,3992.8,BULLISH,13.0,87.0,BULLISH,4050.3050000000003,3985.5660000000003
5,MCX,3187.9,BULLISH,13.0,87.0,BULLISH,3104.0449999999996,2903.57
6,KOTAKBANK,422.7,BULLISH,14.0,86.0,BULLISH,404.01,394.33399999999995
7,SAIL,196.11,BULLISH,14.0,86.0,BULLISH,181.594,173.0508
8,RELIANCE,1309.0,BULLISH,15.0,85.0,BULLISH,1311.1150000000002,1303.16
9,JINDALSTEL,1142.3,BULLISH,17.0,83.0,BULLISH,1134.4,1088.26
10,PETRONET,290.3,BULLISH,17.0,83.0,BULLISH,287.6375,281.675
11,HINDALCO,1009.2,BULLISH,20.0,80.0,BULLISH,1039.2,995.421
12,NATIONALUM,373.95,BULLISH,21.0,79.0,BULLISH,388.6225,365.44300000000004
13,BERGEPAINT,489.3,BULLISH,23.0,77.0,BULLISH,521.43,514.6659999999999
14,JSWSTEEL,1298.3,BULLISH,27.0,73.0,BULLISH,1300.4900000000002,1270.768
15,INFY,1132.5,BULLISH,28.0,72.0,BULLISH,1145.2949999999998,1108.4720000000002
16,INDIANB,888.8,BULLISH,30.0,70.0,BULLISH,883.39,850.1669999999999
17,SIEMENS,4030.0,BULLISH,30.0,70.0,BULLISH,3997.535,3789.2740000000003
18,LTTS,3509.9,BULLISH,35.0,65.0,BULLISH,3563.595,3441.522
19,TCS,2333.9,BULLISH,35.0,65.0,BULLISH,2339.145,2267.144
20,JUBLFOOD,483.2,BULLISH,36.0,64.0,BULLISH,497.07,459.27
21,PERSISTENT,5655.5,BULLISH,37.0,63.0,BULLISH,5606.725,5281.897999999999
22,HEROMOTOCO,5289.5,BULLISH,38.0,62.0,BULLISH,5665.5,5302.476
23,ICICIPRULI,493.5,BULLISH,38.0,62.0,BULLISH,505.2174999999999,503.466
24,BAJAJ-AUTO,11999.0,BULLISH,41.0,59.0,BULLISH,11811.3,11104.54
25,PPLPHARMA,214.26,BULLISH,45.0,55.0,BULLISH,212.07750000000001,193.836
26,NESTLEIND,1416.9,BULLISH,50.0,50.0,BULLISH,1474.52,1466.9720000000002
